Specific_Cell_Ontology_ID	Cell_Marker
CL:0000624	SPOCK2
CL:0000624	CD4
CL:0000624	IL-7R
CL:0000624	FAAH2
CL:0000624	CD4
CL:0000624	CCR6
CL:0000624	TCF7
CL:0000624	CD4
CL:0000624	CD3D
CL:0000624	IL-7R
CL:0000624	IL-7R
CL:0000624	PBX4
CL:0000624	IL-7R
CL:0000624	CD3D
CL:0000624	IFNGAMMA
CL:0000624	FOXP3
CL:0000624	ITGB1
CL:0000624	CD3E
CL:0000624	CD3G
CL:0000624	CD3D
CL:0000624	CD4
CL:0000624	CD4
CL:0000624	FLT3LG
CL:0000624	IL2RA
CL:0000624	TPT1
CL:0000624	LEPROTL1
CL:0000624	CD4
CL:0000624	CD45RA
CL:0000624	SELL
CL:0000624	CD3E
CL:0000624	LTB
CL:0000624	RORA
CL:0000624	LDHB
CL:0000624	SLC2A
CL:0000624	CD6
CL:0000624	CD3E
CL:0000624	ITK
CL:0000624	CD3D
CL:0000624	SUSD3
CL:0000624	CD3G
CL:0000624	CCR6
CL:0000624	CD5L
CL:0000624	PTPRC
CL:0000624	IL-7R
CL:0000624	LOC100128420
CL:0000624	PTPRC
CL:0000624	CD3D
CL:0000624	CD4
CL:0000624	CD14
CL:0000624	CD4
CL:0000624	IL-7R
CL:0000624	IL-7R
CL:0000624	CD19
CL:0000624	IL-7R
CL:0000624	CD3D
CL:0000624	IL-7R
CL:0000624	PASK
CL:0000624	CD4
CL:0000624	IL-7R
CL:0000624	IL-7R
CL:0000624	CD4
CL:0000624	CD3D
CL:0000624	CD3E
CL:0000624	CD4
CL:0000624	MAL
CL:0000624	CD3E
CL:0000624	EML4
CL:0000624	IL6R
CL:0000624	TNFSF8
CL:0000624	IL-7R
CL:0000624	CD7
CL:0000624	LAT
CL:0000624	F5
CL:0000624	IL-7R
CL:0000624	PIM2
CL:0000624	CD3D
CL:0000624	SEPTIN6
CL:0000624	CD3D
CL:0000624	CD3D
CL:0000624	FAM102A
CL:0000624	IL22
CL:0000624	CD2
CL:0000624	CD4
CL:0000624	CD3D
CL:0000624	IL-7R
CL:0000624	CD3D
CL:0000624	CD27
CL:0000624	CD40LG
CL:0000624	CD3D
CL:0000624	TNFRSF4
CL:0000624	IL-7R
CL:0000624	CD3E
CL:0000624	CD4
CL:0000624	CD4
CL:0000624	CD28
CL:0000624	TNFRSF4
CL:0000624	IL7R
CL:0000624	LEF1
CL:0000624	CD4
CL:0000624	CD5
CL:0000624	IL-7R
CL:0000624	CD3E
CL:0000624	CD40LG
CL:0000624	CCR8
CL:0000624	CD69
CL:0000624	IL-7R
CL:0000624	CD28
CL:0000624	CD4
CL:0000624	CD3E
CL:0000624	CD4
CL:0000624	TNFRSF9
CL:0000624	CD40LG
CL:0000624	MS4A1
CL:0000624	CD4
CL:0000624	CD45RO
CL:0000624	IL-7R
CL:0000624	CD3D
CL:0000624	IL2RA
CL:0000624	CD182
CL:0000624	CD3D
CL:0000624	CD3D
CL:0000624	CD40LG
CL:0000624	IL-7R
CL:0000624	LOC285740
CL:0000624	CD5
CL:0000624	CD4
CL:0000624	IL-7R
CL:0000624	CD69
CL:0000624	ITGB2-AS1
CL:0000624	TNFAIP3
CL:0000624	PDCD1
CL:0000624	CD4
CL:0000624	CD150
CL:0000624	SELP28
CL:0000624	CD3D
CL:0000624	CD4
CL:0000624	CCR4
CL:0000624	CD40LG
CL:0000624	CD4
CL:0000624	CD3D
CL:0000624	CD3D
CL:0000624	CD3E
CL:0000624	CD4
CL:0000625	GZMK
CL:0000625	TIM-4
CL:0000625	SLC16A7
CL:0000625	CD8A
CL:0000625	CD3D
CL:0000625	CD8A
CL:0000625	ZFP36L2
CL:0000625	CCL5
CL:0000625	C19ORF6
CL:0000625	VAMP2
CL:0000625	TMEM155
CL:0000625	SIT1
CL:0000625	CD8A
CL:0000625	CD8B
CL:0000625	CD8A
CL:0000625	JAKMIP1
CL:0000625	ZNF609
CL:0000625	SLC16A7
CL:0000625	CD8A
CL:0000625	Cd3d
CL:0000625	SF1
CL:0000625	MAP4K1
CL:0000625	TIGIT
CL:0000625	CD8B
CL:0000625	Cd3e
CL:0000625	CD8A
CL:0000625	CD3G
CL:0000625	PDCD1
CL:0000625	CCL5
CL:0000625	LIME1
CL:0000625	LYST
CL:0000625	RAB27A
CL:0000625	TSC22D3
CL:0000625	LEPROTL1
CL:0000625	CD84
CL:0000625	CD3D
CL:0000625	ITM2A
CL:0000625	NKG7
CL:0000625	PTPN7
CL:0000625	CD3D
CL:0000625	CD3E
CL:0000625	NCAM1
CL:0000625	GZMK
CL:0000625	C19ORF6
CL:0000625	MKI67
CL:0000625	GPR171
CL:0000625	PF4
CL:0000625	ASB2
CL:0000625	CD3E
CL:0000625	CD8A
CL:0000625	MKI67
CL:0000625	CRTAM
CL:0000625	CD3D
CL:0000625	CD8A
CL:0000625	CD3D
CL:0000625	NKG7
CL:0000625	TSC22D3
CL:0000625	C4ORF15
CL:0000625	CD27
CL:0000625	CD8B
CL:0000625	NKG7
CL:0000625	C4ORF15
CL:0000625	CD8B
CL:0000625	TRAC
CL:0000625	KLF9
CL:0000625	DNAJB1
CL:0000625	CD8A
CL:0000625	AES
CL:0000625	ITGA4
CL:0000625	ZNF22
CL:0000625	CD3D
CL:0000625	CD8A
CL:0000625	TRBC2
CL:0000625	CCDC141
CL:0000625	TCRA
CL:0000625	CAMLG
